v1,v2
ham,"Greetings dear how are you doing today with your family, please i want to know if you have gotten the last mail that i sent to you."
spam,"Sorry for the interruption. We regret to inform you that your NHS account has been marked for closure. Kindly increase your mailbox size by filling out the necessary mailbox requirement.  

Kindly Click Here to Update your Mailbox.

However, failure to update your records will result in account suspension Please update your records immediately. 
Thank you for using our service
NHS Web Management."
ham,"This email is for information only.

Mrs Kaur,

Your SystmOnline account was accessed on 29 Sep 2020 13:29. If you did not access your SystmOnline account, please contact your healthcare provider to report this.

Do not reply to this email."
ham,"Hello 


Thank you for your phone call. We hope you can take a few moments to complete a short survey to help us improve our service. 

Please click here for the survey. "
ham,"Hi Team

Please see below from Saujanya – is this something you need to advise on / know about?"
spam,"Dear user,
 
We will close your email account due to several negligence in the emails we previously sent you about the status of your email account. To continue using your email without any changes, click on the mail account button below:
 
MAIL ACCOUNT
 
This request is mandatory, this can lead to the suspension of service.
 
We apologize for any inconvenience this may have caused.
 
Thank you.
NHS Support Team."
ham,"Gopichand Vangar shared a folder with you 
Here's the folder that Gopichand Vangar shared with you. 
 
MH Compact Enablers Roll Out-Workshop 
 
This link only works for the direct recipients of this message. 

 "
spam,NHS Email Update Program  2020 . Just  Click Here To Fill And Update Your NHS Account.
spam,"Our web administrator has been notify of some Unwarranted /Unauthorized activities in our Webmail database For these reason two (2) of your Incoming Mails has been suspended till you verify your mailbox
 
Kindly Click Verification to verify your account.
 
Thank you for C0-operation
NHSWeb admin."
ham,"Dear Sample Taker 
 
The Cytology Department at The Royal Wolverhampton NHS Trust are contracted by the local Screening and Immunisation Team (S&IT), at Public Health England, to hold and maintain an accurate register of cervical screening Sample Takers, their individual PINs and their training status.

We have now collated all the information into a single database which has allowed us to understand the information contained on all of our active sample takers and specifically the training status.
 
As you are aware the frequency of update training for a trained Sample Taker is every 3 years, however, according to our records your training has expired or there is no record of update training completed.    
 
We need you to confirm and provide evidence that your update training is completed.  If it has not, can you complete your update training by clicking on the link below to access an accredited e-learning site?  Also if your HPV training is not completed the link is also available.    Once completed, can you send us a copy of your certificate as evidence, to enable us to ensure we hold accurate records. "
spam,"Your mailbox size has reached 18.35 disk size, which is over 97% of your quota, Please expand your bandwidth before it exceed your quota. 
 
To avoid account suspension you are advised to upgrade your bandwidth size by following the below account upgrade process.
 
Kindly Click Verification to update your account now
 
Note that upgrade is free. 
Thank you for helping us serve you better.
 
NHS Customer Service"
spam,"We are currently updating our Mail database due to the new webmaster administrative policy
These maintenance of quarantine will help us Upgrade our Mail database.
 
Kindly update your account by Clicking Here
We apologize for any inconvenience this might have caused you.
Sincerely,
NHS Web admin."
ham,"Hi 

Just to let you know I have passed this referral to the correct team."
ham,"Just following up, have you had a chance to read my previous email? "
ham,"Enclosed you will find a report of the testing carried by Tecnoline that can offer a better overview of the achievements brought by their solution.
Please let me know when can we have a talk to discuss about Newcastle hospital involvement in the project."
