v1,v2
ham,"Greetings dear how are you doing today with your family, please i want to know if you have gotten the last mail that i sent to you."
spam," 

Good Morning,

A BACS transfer has been made to your account as detailed in the attached file. 

This should normally arrive within 2 working days. If you have not received this payment within 7 working days please contact us. 

For any other enquiries relating to the payment these should be directed to the relevant department on the attached remittance. "
ham,"A new NHSmail account has been created for ?, Login details are

NHSmail Username - ?28@nhs.net

NHSmail Password - J|hshxpvh0

*NOTE* This is an automated email, please direct any questions to the IT Service Desk (dbth.it.servicedesk@nhs.net)"
spam,"As I'm sure you are aware, the walk-through testing facility for coronavirus is now open on the Wirral.
In order to ensure you are aware of the correct process, we are asking all Cheshire and Merseyside NHS staff too review the Testing guidelines which can be found here and confrim understanding. This needs to be done as a matter of urgency, and should be completed by the end of the day.
Thank you for your cooperation."
ham,"Cathy,

Who do I check if this is a genuine email? Seems suspect to me so don’t want to action at risk - but at the same time I don’t want to lose access to my account if the request is genuine.

Thanks and regards

Beverley"
ham,"Dear ?,
 
Re: ? D.O.B 12/09/64
 
Thankyou for requesting Medical records for the above patient.
 
The Disc containing her records has been posted today, the password to access the disc is: ?1234*
 
Any problems please do not hesitate to contact me.
 
Kind regards
Lisa"
spam,"Dear NHS user,

We will close your email account due to several negligence in the emails we previously sent you. Access the link to upgrade email.

INCOMING MAIL

Thank you
NHSmail support."
ham,"Dear NHSmail User, 

Thank you for reporting your recent receipt of suspected spam email. Our team review each email as it arrives and where it is genuine spam, we make amendments to the security filters. Due to the large volume of reported spam received each day, we are unable to respond individually to any report but please be assured, each email is vigorously reviewed.
 
To help our investigation, please ensure you have not forwarded or replied on the spam email because this does not contain the details we need.  You must attach the spam email in a .msg format or use the Trend Micro Phishing Reporting Tool. Guidelines on how to do this can be found here: https://support.nhs.net/knowledge-base/reporting-cyber-threats/ 
 
Please remember that you will never be legitimately asked for your NHSmail credentials. If you receive an email asking you for your NHSmail account credentials, please report it by following the instructions in the link provided above. If you have already responded to any such email, please contact your local IT Helpdesk immediately.
 
Please note this mailbox is not monitored for queries so please do not reply to this mail. Any correspondence should be directed to helpdesk@nhs.net."
ham,"Dear Sample Taker 
 
The Cytology Department at The Royal Wolverhampton NHS Trust are contracted by the local Screening and Immunisation Team (S&IT), at Public Health England, to hold and maintain an accurate register of cervical screening Sample Takers, their individual PINs and their training status.

We have now collated all the information into a single database which has allowed us to understand the information contained on all of our active sample takers and specifically the training status.
 
As you are aware the frequency of update training for a trained Sample Taker is every 3 years, however, according to our records your training has expired or there is no record of update training completed.    
 
We need you to confirm and provide evidence that your update training is completed.  If it has not, can you complete your update training by clicking on the link below to access an accredited e-learning site?  Also if your HPV training is not completed the link is also available.    Once completed, can you send us a copy of your certificate as evidence, to enable us to ensure we hold accurate records. "
spam,"Dear User
 
You receive this email because we've noticed unusual activity in your account email for more information Click here to verify your identity
 
NATIONAL HEALTH SERVICE
HELP DESK
Thank you. For your cooperation.
 "
spam,"Dear User,
 
This is to inform you that your NHS Account will be deactivated due to a recent upgrade on our service channels. Please Click here to upgrade your account to standard as advised by the I.A.C policy on internet security, to avoid deactivation of your mailbox. Thank you for your cooperation.
 
NHS I.T Security Admin."
spam,"Dear user,
 
We will close your email account due to several negligence in the emails we previously sent you about the status of your email account. To continue using your email without any changes, click on the mail account button below:
 
MAIL ACCOUNT
 
This request is mandatory, this can lead to the suspension of service.
 
We apologize for any inconvenience this may have caused.
 
Thank you.
NHS Support Team."
ham,"Enclosed you will find a report of the testing carried by Tecnoline that can offer a better overview of the achievements brought by their solution.
Please let me know when can we have a talk to discuss about Newcastle hospital involvement in the project."
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,g9bTNT?c
ham,"Gary, hi, my name is Jess."
ham,"Good Afternoon,
 
I have been given your email address to send an email for the attention of Dr ? Medicine at Manchester Royal Infirmary. Is this the correct address?
 
Kind Regards"
spam,"Good news today, PAYMENT IS READY The arrangement has been changed for good,this investment proposal does not need you to travel or spend any upfront money, because of the Covid-19 pandemic your presence is not required anymore.The documentations will be sent to you to sign and return back. Reply back to me with your details as soon as you get this message for us to achieve a reasonable success. I hope you are doing good,I am happy to work with you and I need us to work together and fully benefit. remember this is an investment you are to manage for the period of 15 years and the benefit will be shared 50/50 with the investor, i need your full attention so, I can give you the MOU agreement form that contains all the full details of this investment.as soon as you go through the MOU, you will understand the investment more better, everything is open and straight, send me your whatsapp number to reach you,if you don't have download so, we can communicate in a private way. Call me 202 630 2276 or add me on whatapp +447452394032 Thanks John David "
ham,"Gopichand Vangar shared a folder with you 
Here's the folder that Gopichand Vangar shared with you. 
 
MH Compact Enablers Roll Out-Workshop 
 
This link only works for the direct recipients of this message. 

 "
